plot;Acer_campestre;Acer_negundo;Acer_platanoides;Acer_pseudoplatanus;Achillea_millefolium;Agrimonia_eupatoria;Agrostis_capillaris;Agrostis_gigantea;Agrostis_stolonifera;Ajuga_genevensis;Ambrosia_psilostachya;Anchusa_officinalis;Anthoxanthum_odoratum;Anthriscus_caucalis;Arabidopsis_thaliana;Arabis_glabra;Arenaria_serpyllifolia;Armeria_elongata;Arrhenatherum_elatius;Artemisia_campestris;Artemisia_vulgaris;Berteroa_incana;Bromus_hordeaceus;Bromus_inermis;Bromus_sterilis;Bromus_tectorum;Calamagrostis_epigejos;Campanula_rapunculus;Capsella_bursa-pastoris;Cardamine_hirsuta;Cardaminopsis_arenosa;Carex_arenaria;Carex_caryophyllea;Carex_hirta;Carex_ligerica;Carex_praecox;Carex_spicata;Centaurea_jacea;Centaurea_stoebe;Cerastium_arvense;Cerastium_glomeratum;Cerastium_glutinosum;Cerastium_holosteoides;Cerastium_semidecandrum;Chenopodium_album;Chondrilla_juncea;Cirsium_arvense;Cirsium_vulgare;Clematis_vitalba;Convolvulus_arvensis;Conyza_canadensis;Corynephorus_canescens;Crataegus_monogyna;Crepis_capillaris;Cynoglossum_officinale;Cytisus_scoparius;Dactylis_glomerata;Danthonia_decumbens;Daucus_carota;Deschampsia_flexuosa;Dianthus_carthusianorum;Dianthus_deltoides;Dianthus_giganteus;Digitaria_ischaemum;Digitaria_sanguinalis;Dipsacus_fullonum;Draba_verna;Echium_vulgare;Elymus_repens;Equisetum_arvense;Equisetum_x_moorei;Eragrostis_minor;Erigeron_acris;Erigeron_annuus;Erodium_cicutarium;Euonymus_europaea;Euphorbia_cyparissias;Festuca_arundinacea;Festuca_brevipila;Festuca_ovina;Festuca_pratensis;Festuca_rubra;Ficaria_verna;Filago_arvensis;Gagea_pratensis;Galium_aparine;Galium_boreale;Galium_mollugo;Galium_verum;Geranium_molle;Geranium_pusillum;Geranium_pyrenaicum;Geranium_robertianum;Glechoma_hederacea;Gypsophila_paniculata;Helichrysum_arenarium;Herniaria_glabra;Hieracium_bauhini;Hieracium_pilosella;Hieracium_umbellatum;Holcus_lanatus;Holcus_mollis;Holosteum_umbellatum;Hypericum_perforatum;Hypochaeris_radicata;Jasione_montana;Koeleria_macrantha;Lamium_purpureum;Lapsana_communis;Leontodon_autumnalis;Leucanthemum_vulgare;Linaria_vulgaris;Lolium_multiflorum;Lolium_perenne;Lotus_corniculatus;Luzula_campestris;Luzula_multiflora;Malva_moschata;Medicago_lupulina;Medicago_minima;Medicago_x_varia;Melampyrum_pratense;Melilotus_officinalis;Moehringia_trinervia;Myosotis_arvensis;Myosotis_ramosissima;Myosotis_stricta;Oenothera_biennis;Ononis_repens;Papaver_argemone;Papaver_dubium;Petrorhagia_prolifera;Petrorhagia_saxifraga;Peucedanum_oreoselinum;Picris_hieracioides;Pimpinella_saxifraga;Pinus_sylvestris;Plantago_arenaria;Plantago_lanceolata;Plantago_major;Poa_angustifolia;Poa_annua;Poa_bulbosa;Poa_compressa;Poa_pratensis;Poa_trivialis;Polygonatum_odoratum;Polygonum_aviculare;Populus_tremula;Portulaca_oleracea;Potentilla_argentea;Potentilla_incana;Potentilla_reptans;Potentilla_verna;Prunus_domestica;Prunus_serotina;Prunus_spinosa;Pyrus_communis;Quercus_robur;Ranunculus_acris;Ranunculus_bulbosus;Robinia_pseudoacacia;Rosa_canina;Rubus_caesius;Rubus_fruticosus;Rumex_acetosella;Rumex_thyrsiflorus;Salvia_pratensis;Sanguisorba_muricata;Saponaria_officinalis;Saxifraga_tridactylites;Scleranthus_annuus;Scleranthus_perennis;Securigera_varia;Sedum_acre;Sedum_album;Sedum_maximum;Sedum_reflexum;Sedum_sexangulare;Senecio_inaequidens;Senecio_jacobaea;Senecio_vernalis;Setaria_viridis;Silene_alba;Silene_conica;Silene_vulgaris;Sisymbrium_loeselii;Solanum_nigrum;Solidago_canadensis;Spergula_morisonii;Spergularia_rubra;Stellaria_graminea;Stellaria_media;Stellaria_pallida;Tanacetum_vulgare;Taraxacum_laevigatum;Taraxacum_officinale;Teesdalia_nudicaulis;Thymus_pulegioides;Tragopogon_dubius;Tragopogon_pratensis;Trifolium_arvense;Trifolium_campestre;Trifolium_dubium;Trifolium_pratense;Trifolium_repens;Trifolium_striatum;Verbascum_lychnitis;Verbascum_nigrum;Veronica_arvensis;Veronica_chamaedrys;Veronica_officinalis;Veronica_prostrata;Veronica_sublobata;Vicia_angustifolia;Vicia_cracca;Vicia_hirsuta;Vicia_lathyroides;Vicia_sepium;Vicia_tetrasperma;Vicia_villosa;Viola_arvensis;Viola_canina;Viola_suavis;Viola_tricolor
Brb_Nh_04;0;0;0;0;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0.1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Brb_Nl_02;0;0;0;0.1;0;0;10;0;0;0;0;0;0;0;0.1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;4;0;20;0;0;20;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;1;0;0;0;2;0.1;0;0;0;0;0.1;0;4;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0
Brb_Nm_03;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;1;0;0;0;0;0.1;0;2;4;0;0.1;0.1;0;0;0;0;0;20;0;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brb_Oh_01;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0;4;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;1;0;4;0;0.1;0;0;0;0;0.1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;30;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;1;1;0;0;0.1;0.1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.1;1;0;0;0;0;0;0;0
Brb_Ol_03;0;0;0;0;1;0;10;0;0;0;0;0;0;0;1;0;0;0;0;10;0;1;2;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;2;0;0;10;0;0;0;0;0;2;1;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;1;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;1;0;0;0;0.1;0;0.1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0.1;0;0.1;0.1;0;0;0;0;0;0;0
Brb_Ol_04;0;0;0;0;1;0;20;0;0;0;0;0;0;0;1;0;0;0;0.1;0;0;2;1;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;1;20;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0.1;0;0;0;1;0;0;0;0
Brb_Om_03;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0.1;0;0.1;0;0;4;0;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;1;0;0.1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;1;0.1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;1;0;0;0;0;0.1;0;0.1;1;0;0;0;0;0;0;0
Nh_02;0;0;0;0;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.1;0;30;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;2;0;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0.1;0;0;1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0.1;0;0;0;0;1;0;1;0.1;0;0;0;0;0;0;0
Nh_04;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;10;0;0;0;0.1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0.1;0;0;0.1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;4;0;0;0;0.1;0;0;0;0.1;0;0;1;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;20;0;0;10;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Nh_05;0;0;0;0;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0.1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;50;0;0;1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.1;0.1;0;0;0;0;0;0;4;0;0.1;0;0;0;4;0;0;0;0;0.1;0.1;0;1;0.1;0;0;0;0;0;0
Nh_10;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0.1;0;0.1;0;0;10;0;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.1;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.1;0;0;1;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;1;0;0;0.1;0;0;0;0
Nh_11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;2;1;0;0;0;0;0;0;0
Nh_51;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.1;0;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0.1;0.1;0;0;0;2;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0
Nh_201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;10;0;0.1;0;0;0;0.1;0.1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nl_03;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;2;0.1;0;2;0;1;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;2;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;20;0;0;10;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;1;0;0;0.1;0;0.1;0;0;0;1;0;0;0;0;0;0;4;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0.1;0;0;0;0;0;0;0;0
Nl_05;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.1;4;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;10;0;0;0;0;0;0;0;0;0;0;10;0.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0.1;0;0;1;0;0;0;0;0;0;0
Nl_09;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;2;0;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nl_14;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0.1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.1;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;1;0.1;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;30;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.1;0.1;0;0;0.1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nl_16;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0.1;0;0;0;0;0;0;0;0;0;1;0;20;0;0;0;0;0;0;0;0;0;10;0;0;10;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0.1;0;0;0;0;1;0;0;0.1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0.1;0;0;0;0;1;0;0;0;0;0
Nl_18;0;0;0.1;0;1;0;0.1;0;0;0;0;0;0;0;1;0.1;1;0;0;0;1;1;0;0;1;0;10;0;0;1;0;0;0;10;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;1;0.1;0;0;0;0;0;2;0
Nl_55;0;0;0.1;0;0.1;0;0;0;0;0;0;1;0;0;4;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0.1;0;0;0;0;0;0.1;0;4;0;0;0;0;0;0;0;0;0;30;0;0;4;0.1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;1;0;0;0.1;0;0;0;0;0;0;0.1;1;0;2;0;0;0;0;2;0;0;0;0.1;0;0;0;0;0;0;0;0;1;0;10;0;0;1;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;1;4;0;0.1;0;0;0;0.1;0;0;0;0
Nl_56;0;0;0;0;1;0;20;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;20;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;30;0;0;0.1;0;0;0;0;0;0;0;4;0;0;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;4;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0
Nl_200;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;2;0;0;0;0;0;0.1;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.1;0;0;0;0;0;0;1;0;0;0;0;0.1;0;0;2;0;0;0;0;0;0;0
Nl_205;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
